APURCH,unique,age,gendf,gendm,pcode,atmcrd,paydep,BALCHQ,BALSAV,TOTDEP,BALLOAN,BALLOC,BALMRGG,NEWLOC,NEWMRGG,TXBRAN,TXATM,TXPOS,TXCHQ,TXWEB,TXTEL,TOTSERV,CH_NM_SERV,CH_NM_PRD,valsegm,N_IND_INC_,numrr_1,numcon_1,avginc_1,avginv_1
N,6373,42,1,0,V3B2E5,1,1,426.88,,426.88,,,,0,0,1.416666667,16.5,41.75,4.083333333,11.83333333,0,1,0,-1,D,610,240,866,29529.5082,2659.259259
N,6374,62,0,1,V5P1B8,0,0,4936.258333,,5233.858333,,0,63597.81,0,0,0.833333333,0,0,0.083333333,0,0,4,0,0,C,910,390,1670,23417.58242,2988.135593
N,6377,47,1,0,V5Z4G6,1,0,1682.069167,910.595,2731.329167,,0,,0,0,1.083333333,3.666666667,8.583333333,9.416666667,15.58333333,0,4,0,0,D,620,300,1921,44690.32258,4983.333333
N,6378,52,0,1,V6V1L5,0,0,54.99,,67513.24333,,88778.7075,101527.8642,0,0,0.666666667,0,0,2.833333333,0,0,4.2,-2,-3,A,980,430,2156,30552.04082,2707.017544
Y,6392,47,0,1,V3H4V6,1,0,1066.709167,6744.4875,8109.279167,,117.5166667,289198.0817,0,0,1.833333333,2.75,0.25,0.666666667,2.5,0,5,0,-1,A,13550,6090,29594,38106.71587,3164.860681
N,6395,40,0,1,V4A1X9,1,0,2017.395833,,2068.760833,,,,0,0,0.083333333,2.083333333,4.75,0.25,0,0,2,0,0,E,710,300,1368,35021.12676,2196.969697
N,6396,44,0,1,V2V3W4,1,0,3799.9825,,4474.091667,,89.23333333,165974.7033,0,0,6.416666667,0,0,2.083333333,0,0,4.1,1,1,A,630,230,928,30939.68254,2673.913044
N,6397,39,1,0,V3E1N8,1,1,91.76833333,,150.8283333,2787.393333,2330.554167,,0,0,1.083333333,6.166666667,32.91666667,6.833333333,5.583333333,0,4,0,0,D,840,350,1193,34592.85714,1042.307692
Y,6398,37,0,1,V5X1S7,1,1,1095.076667,44.07166667,1213.3475,9559.585,1.128333333,,0,0,0.583333333,5.166666667,37.08333333,0.75,6.583333333,0,5,0,1,D,1020,170,721,23328.43137,2945.762712
Y,6402,21,1,0,V3S7V3,0,0,,48.93,102.9575,,,,0,0,0,0,0,0,0,0,2,0,0,E,1100,500,2894,39920,3613.793103
Y,6407,59,0,1,V5B1N2,1,1,13082.03167,,25644.05417,,,,0,0,0.583333333,3.5,2.5,4.333333333,2.25,0,2.6,1,1,D,730,310,1344,27343.83562,4222.44898
Y,6411,63,0,1,V2Z1N5,1,1,2049.318333,700.0375,130401.8633,,0.525,,0,0,0.75,4.166666667,18.83333333,2.75,6.833333333,0,5,0,-1,D,7650,2650,13706,32769.15033,5222.371365
N,6413,31,0,1,V5G1C1,1,0,161.6308333,13.27166667,226.9716667,,,,0,0,1.083333333,17.16666667,17,0,0,0,3,0,1,E,790,350,1468,29091.13924,2141.025641
N,6418,45,1,0,V6N2E4,1,0,200.4658333,,254.6208333,,3140.823333,,0,0,7.75,5.25,16.33333333,4.666666667,0,0,3,0,0,D,310,120,865,57219.35484,13291.30435
N,6422,30,1,0,V6K1B7,1,0,6331.4375,,6385.0525,,99359.255,138483.91,0,1,0.25,1.166666667,0.416666667,0,1.25,0.083333333,2.9,1,1,E,680,340,1715,37432.35294,3872.727273
Y,6424,50,0,1,V5G3N8,1,0,2298.8025,74.64166667,2437.665833,,,,0,0,6.5,8,4.666666667,11,0,0,3,0,1,D,410,180,733,29800,2959.090909
Y,6437,33,1,0,V5W1X5,1,0,0.008333333,362.0525,59209.34583,,,,0,0,1.25,0.833333333,0,0.083333333,0,0,4,0,2,D,1000,280,1045,25553,3174.193548
Y,6450,28,0,1,V3T3K4,1,0,2058.608333,365.8483333,2543.326667,13227.54333,,,0,0,9.25,4.916666667,10.33333333,0.083333333,0,0,4,0,2,C,700,210,559,25405.71429,1537.037037
N,6453,39,0,1,V4C8C9,1,1,96.18083333,0,167.87,,9771.041667,,0,0,4.833333333,18.91666667,29.83333333,0.5,8.583333333,0,4,0,0,D,640,300,1350,37832.8125,4685.185185
N,6460,62,0,1,V3C2Z5,1,0,4075.070833,9436.6875,10560.39833,20015.575,0,,0,0,0.25,6.75,1.666666667,3.416666667,7.083333333,0,4.2,0,0,C,730,310,1411,32432.87671,1555.555556
N,6463,61,1,0,V7J1K2,1,0,0,0,230.995,,171661.1067,195478.1117,0,0,1,0.5,0.583333333,0.5,1.083333333,0,5,0,0,A,330,170,939,34093.93939,3742.307692
Y,6465,43,1,0,V5X1L4,1,1,12606.88,5.85,21450.37,,0,,0,0,7.333333333,0.166666667,4.75,1,0,0,5,0,0,D,1150,290,1194,22453.04348,3550.847458
N,6467,24,1,0,V3J4X1,1,1,126.7991667,333.9883333,14031.7925,,,,0,0,1.166666667,2.666666667,3.333333333,0.083333333,1,0,4,0,0,D,650,250,1025,30563.07692,4025.641026
Y,6468,55,1,0,V3E1K6,1,0,0,14.13333333,116.7508333,6963.911667,9178.514167,,0,0,4.666666667,0.833333333,5.916666667,1.25,4,0,5,0,-1,C,570,250,1297,38256.14035,2063.333333
Y,6473,36,0,1,V5V2N2,1,0,3685.1525,,3749.3675,,,,0,0,0.083333333,14.58333333,36.5,5.416666667,5.833333333,0,2,0,0,D,850,350,1304,24267.05882,2193.478261
Y,6482,46,0,1,V3S8W6,1,0,0,2570.976667,7514.576667,,,48516.2875,0,0,0.333333333,1.916666667,0,0,0,0,5,0,0,C,1050,540,2353,40393.33333,1361.538462
Y,6489,48,1,0,V6M4C9,1,0,,35.28,89.4125,,,,0,0,0.083333333,0,0,0,0,0,2,0,0,E,540,250,1199,35061.11111,9821.73913
N,6491,65,1,0,V6K1Z6,0,0,,2411.961667,3114.271667,,,,0,0,1.5,0,0,0,0,0,3,0,0,D,670,310,1959,38822.38806,3054.545455
N,6504,44,0,1,V3L3L5,1,0,1398.525,,1457.91,,,,0,0,0,1.583333333,0.083333333,1.583333333,0,0,2,0,-1,D,800,,,31351.25,2762.857143
Y,6506,35,1,0,V3H4L7,1,1,4184.145,0,4695.735,,,,0,0,0.083333333,0.833333333,16.25,4.333333333,0,0,3,0,0,D,13550,6090,29594,38106.71587,3164.860681
Y,6512,44,0,1,V2P4X3,1,0,10.85666667,,74.28416667,,946.7791667,115225.35,0,1,1,1.666666667,4.083333333,0,0,0,3.6,1,1,D,510,130,323,23254.90196,1505.882353
N,6531,44,1,0,V5X1H9,1,0,886.8958333,1768.035,2720.785833,,11.56454546,,0,0,3.666666667,10.66666667,54.08333333,3.833333333,0,0,3.9,-1,0,D,900,400,1708,23505.55556,2709.803922
Y,6538,28,0,1,V4A4P9,1,0,0,,143.295,8592.110833,1748.175833,207465.1883,0,0,0.333333333,20.66666667,10.75,6.083333333,0,0,5,0,0,A,590,240,1262,28369.49153,3723.684211
